,bo_srm_xsd
776,0.46875
777,0.351563
778,0.332031
779,0.429688
780,0.6054689999999999
781,0.6054689999999999
782,0.6054689999999999
783,0.6054689999999999
784,0.429688
785,0.429688
786,0.429688
787,0.6054689999999999
788,0.6054689999999999
789,0.6054689999999999
790,0.429688
791,0.742188
792,0.78125
793,0.7226560000000001
794,0.7226560000000001
795,0.5273439999999999
796,0.371094
797,0.234375
798,0.332031
799,0.292969
800,0.234375
801,0.234375
802,0.234375
803,0.332031
804,0.429688
805,0.429688
806,0.507813
807,0.507813
808,0.507813
809,0.507813
810,0.253906
811,0.3125
812,0.332031
813,0.488281
814,0.488281
815,0.488281
816,0.449219
817,0.292969
818,0.292969
819,0.46875
820,0.292969
821,0.292969
822,0.292969
823,0.292969
824,0.46875
825,0.5664060000000001
826,0.585938
827,0.7226560000000001
828,0.5664060000000001
829,0.742188
830,0.742188
831,0.625
832,0.6054689999999999
833,0.5664060000000001
834,0.6835939999999999
835,0.546875
836,0.5273439999999999
837,0.546875
838,0.546875
839,0.429688
840,0.429688
841,0.390625
842,0.234375
843,0.292969
844,0.332031
845,0.332031
846,0.332031
847,0.332031
848,0.488281
849,0.332031
850,0.332031
851,0.332031
852,0.332031
853,0.332031
854,0.46875
855,0.46875
856,0.46875
857,0.46875
858,0.546875
859,0.371094
860,0.371094
861,0.351563
862,0.371094
863,0.371094
864,0.371094
865,0.371094
866,0.390625
867,0.429688
868,0.449219
869,0.429688
870,0.292969
871,0.292969
872,0.292969
873,0.292969
874,0.15625
875,0.058594000000000014
876,0.253906
877,0.15625
878,0.15625
879,0.15625
880,0.332031
881,0.15625
882,0.292969
883,0.332031
884,0.3125
885,0.136719
886,0.136719
887,0.136719
888,0.15625
889,0.136719
890,0.097656
891,0.097656
892,0.097656
893,0.214844
894,0.214844
895,0.078125
896,0.078125
897,-0.195313
898,-0.175781
899,-0.078125
900,-0.078125
901,0.136719
902,0.019531
903,0.0
904,0.019531
905,0.019531
906,0.175781
907,0.195313
908,0.195313
909,0.117188
910,0.0
911,0.019531
912,0.0
913,0.0
914,0.0
915,0.0
916,-0.078125
917,0.039063
918,0.019531
919,0.039063
920,0.039063
921,-0.117188
922,-0.117188
923,-0.136719
924,-0.136719
925,-0.019531
926,-0.039063
927,-0.136719
928,-0.117188
929,-0.058594000000000014
930,0.175781
931,0.15625
932,0.15625
933,-0.039063
934,-0.039063
935,-0.039063
936,0.097656
937,0.136719
938,0.3125
939,0.449219
940,0.234375
941,0.234375
942,0.234375
943,0.234375
944,0.214844
945,0.234375
946,0.234375
947,0.234375
948,0.058594000000000014
949,0.15625
950,0.039063
951,0.253906
952,0.253906
953,0.253906
954,0.253906
955,0.15625
956,0.195313
957,0.429688
958,0.449219
959,0.703125
960,0.6054689999999999
961,0.625
962,0.703125
963,0.7226560000000001
964,0.6835939999999999
965,0.507813
966,0.3125
967,0.449219
968,0.449219
969,0.449219
970,0.449219
971,0.449219
972,0.332031
973,0.46875
974,0.273438
975,0.429688
976,0.332031
977,0.3125
978,0.3125
979,0.3125
980,0.3125
981,0.429688
982,0.351563
983,0.234375
984,0.234375
985,0.234375
986,0.039063
987,0.039063
988,-0.097656
989,-0.136719
990,-0.136719
991,-0.136719
992,-0.136719
993,-0.214844
994,-0.429688
995,-0.429688
996,-0.429688
997,-0.429688
998,-0.46875
999,-0.410156
